"","batch","type","cluster"
"Cell3810","1","B","1 0"
"Cell3811","1","A","1 1"
"Cell3812","1","B","1 0"
"Cell3813","1","B","1 0"
"Cell3814","1","B","1 0"
"Cell3815","1","A","1 1"
"Cell3816","1","A","1 1"
"Cell3817","1","B","1 0"
"Cell3818","1","A","1 1"
"Cell3819","1","B","1 0"
"Cell3820","1","B","1 0"
"Cell3821","1","A","1 1"
"Cell3822","1","A","1 1"
"Cell3823","1","A","1 1"
"Cell3824","1","A","1 1"
"Cell3825","1","A","1 1"
"Cell3826","1","B","1 0"
"Cell3827","1","A","1 1"
"Cell3828","1","A","1 1"
"Cell3829","1","B","1 0"
"Cell3830","1","B","1 0"
"Cell3831","1","B","1 0"
"Cell3832","1","A","1 1"
"Cell3833","1","B","1 0"
"Cell3834","1","A","1 1"
"Cell3835","1","B","1 0"
"Cell3836","1","A","1 1"
"Cell3837","1","A","1 1"
"Cell3838","1","A","1 1"
"Cell3839","1","A","1 1"
"Cell3840","1","A","1 1"
"Cell3841","1","B","1 0"
"Cell3842","1","B","1 0"
"Cell3843","1","A","1 1"
"Cell3844","1","B","1 0"
"Cell3845","1","A","1 1"
"Cell3846","1","A","1 1"
"Cell3847","1","B","1 0"
"Cell3848","1","A","1 1"
"Cell3849","1","B","1 0"
"Cell3850","1","A","1 1"
"Cell3851","1","A","1 1"
"Cell3852","1","B","1 0"
"Cell3853","1","A","1 1"
"Cell3854","1","A","1 1"
"Cell3855","1","A","1 1"
"Cell3856","1","B","1 0"
"Cell3857","1","B","1 0"
"Cell3858","1","A","1 1"
"Cell3859","1","B","1 0"
"Cell3860","1","A","1 1"
"Cell3861","1","A","1 1"
"Cell3862","1","B","1 0"
"Cell3863","1","A","1 1"
"Cell3864","1","A","1 1"
"Cell3865","1","B","1 0"
"Cell3866","1","A","1 1"
"Cell3867","1","A","1 1"
"Cell3868","1","A","1 1"
"Cell3869","1","A","1 1"
"Cell3870","1","B","1 0"
"Cell3871","1","A","1 1"
"Cell3872","1","B","1 0"
"Cell3873","1","B","1 0"
"Cell3874","1","B","1 0"
"Cell3875","1","A","1 1"
"Cell3876","1","A","1 1"
"Cell3877","1","B","1 0"
"Cell3878","1","B","1 0"
"Cell3879","1","B","1 0"
"Cell3880","1","A","1 1"
"Cell3881","1","B","1 0"
"Cell3882","1","B","1 0"
"Cell3883","1","B","1 0"
"Cell3884","1","B","1 0"
"Cell3885","1","A","1 1"
"Cell3886","1","B","1 0"
"Cell3887","1","A","1 1"
"Cell3888","1","A","1 1"
"Cell3889","1","B","1 0"
"Cell3890","1","A","1 1"
"Cell3891","1","A","1 1"
"Cell3892","1","A","1 1"
"Cell3893","1","B","1 0"
"Cell3894","1","A","1 1"
"Cell3895","1","B","1 0"
"Cell3896","1","B","1 0"
"Cell3897","1","A","1 1"
"Cell3898","1","A","1 1"
"Cell3899","1","A","1 1"
"Cell3900","1","B","1 0"
"Cell3901","1","B","1 0"
"Cell3902","1","A","1 1"
"Cell3903","1","A","1 1"
"Cell3904","1","B","1 0"
"Cell3905","1","A","1 1"
"Cell3906","1","B","1 0"
"Cell3907","1","B","1 0"
"Cell3908","1","B","1 0"
"Cell3909","1","A","1 1"
"Cell3910","1","A","1 1"
"Cell3911","1","A","1 1"
"Cell3912","1","B","1 0"
"Cell3913","1","B","1 0"
"Cell3914","1","B","1 0"
"Cell3915","1","B","1 0"
"Cell3916","1","B","1 0"
"Cell3917","1","A","1 1"
"Cell3918","1","B","1 0"
"Cell3919","1","A","1 1"
"Cell3920","1","B","1 0"
"Cell3921","1","A","1 1"
"Cell3922","1","B","1 0"
"Cell3923","1","A","1 1"
"Cell3924","1","B","1 0"
"Cell3925","1","B","1 0"
"Cell3926","1","A","1 1"
"Cell3927","1","A","1 1"
"Cell3928","1","A","1 1"
"Cell3929","1","B","1 0"
"Cell3930","1","B","1 0"
"Cell3931","1","B","1 0"
"Cell3932","1","B","1 0"
"Cell3933","1","B","1 0"
"Cell3934","1","A","1 1"
"Cell3935","1","B","1 0"
"Cell3936","1","A","1 1"
"Cell3937","1","A","1 1"
"Cell3938","1","A","1 1"
"Cell3939","1","A","1 1"
"Cell3940","1","A","1 1"
"Cell3941","1","B","1 0"
"Cell3942","1","B","1 0"
"Cell3943","1","B","1 0"
"Cell3944","1","B","1 0"
"Cell3945","1","A","1 1"
"Cell3946","1","B","1 0"
"Cell3947","1","B","1 0"
"Cell3948","1","B","1 0"
"Cell3949","1","A","1 1"
"Cell3950","1","B","1 0"
"Cell3951","1","A","1 1"
"Cell3952","1","A","1 1"
"Cell3953","1","B","1 0"
"Cell3954","1","B","1 0"
"Cell3955","1","A","1 1"
"Cell3956","1","A","1 1"
"Cell3957","1","A","1 1"
"Cell3958","1","A","1 1"
"Cell3959","1","B","1 0"
"Cell3960","1","B","1 0"
"Cell3961","1","A","1 1"
"Cell3962","1","B","1 0"
"Cell3963","1","B","1 0"
"Cell3964","1","B","1 0"
"Cell3965","1","A","1 1"
"Cell3966","1","B","1 0"
"Cell3967","1","A","1 1"
"Cell3968","1","A","1 1"
"Cell3969","1","B","1 0"
"Cell3970","1","B","1 0"
"Cell3971","1","A","1 1"
"Cell3972","1","B","1 0"
"Cell3973","1","B","1 0"
"Cell3974","1","B","1 0"
"Cell3975","1","B","1 0"
"Cell3976","1","A","1 1"
"Cell3977","1","A","1 1"
"Cell3978","1","A","1 1"
"Cell3979","1","B","1 0"
"Cell3980","1","A","1 1"
"Cell3981","1","A","1 1"
"Cell3982","1","A","1 1"
"Cell3983","1","A","1 1"
"Cell3984","1","B","1 0"
"Cell3985","1","B","1 0"
"Cell3986","1","B","1 0"
"Cell3987","1","B","1 0"
"Cell3988","1","B","1 0"
"Cell3989","1","A","1 1"
"Cell3990","1","B","1 0"
"Cell3991","1","B","1 0"
"Cell3992","1","B","1 0"
"Cell3993","1","B","1 0"
"Cell3994","1","A","1 1"
"Cell3995","1","A","1 1"
"Cell3996","1","A","1 1"
"Cell3997","1","A","1 1"
"Cell3998","1","B","1 0"
"Cell3999","1","A","1 1"
"Cell4000","1","B","1 0"
"Cell1001","2","B","2 0"
"Cell1002","2","B","2 0"
"Cell1003","2","C","2 1"
"Cell1004","2","C","2 1"
"Cell1005","2","C","2 1"
"Cell1006","2","B","2 0"
"Cell1007","2","B","2 0"
"Cell1008","2","C","2 1"
"Cell1009","2","C","2 1"
"Cell1010","2","C","2 1"
"Cell1011","2","B","2 0"
"Cell1012","2","C","2 1"
"Cell1013","2","C","2 1"
"Cell1014","2","C","2 1"
"Cell1015","2","B","2 0"
"Cell1016","2","C","2 1"
"Cell1017","2","B","2 0"
"Cell1018","2","B","2 0"
"Cell1019","2","C","2 1"
"Cell1020","2","B","2 0"
"Cell1021","2","C","2 1"
"Cell1022","2","B","2 0"
"Cell1023","2","C","2 1"
"Cell1024","2","C","2 1"
"Cell1025","2","B","2 0"
"Cell1026","2","B","2 0"
"Cell1027","2","B","2 0"
"Cell1028","2","B","2 0"
"Cell1029","2","B","2 0"
"Cell1030","2","C","2 1"
"Cell1031","2","C","2 1"
"Cell1032","2","B","2 0"
"Cell1033","2","B","2 0"
"Cell1034","2","C","2 1"
"Cell1035","2","C","2 1"
"Cell1036","2","B","2 0"
"Cell1037","2","C","2 1"
"Cell1038","2","B","2 0"
"Cell1039","2","B","2 0"
"Cell1040","2","C","2 1"
"Cell1041","2","B","2 0"
"Cell1042","2","C","2 1"
"Cell1043","2","B","2 0"
"Cell1044","2","C","2 1"
"Cell1045","2","B","2 0"
"Cell1046","2","C","2 1"
"Cell1047","2","C","2 1"
"Cell1048","2","B","2 0"
"Cell1049","2","C","2 1"
"Cell1050","2","C","2 1"
"Cell1051","2","B","2 0"
"Cell1052","2","C","2 1"
"Cell1053","2","B","2 0"
"Cell1054","2","B","2 0"
"Cell1055","2","C","2 1"
"Cell1056","2","B","2 0"
"Cell1057","2","C","2 1"
"Cell1058","2","B","2 0"
"Cell1059","2","B","2 0"
"Cell1060","2","C","2 1"
"Cell1061","2","B","2 0"
"Cell1062","2","C","2 1"
"Cell1063","2","C","2 1"
"Cell1064","2","B","2 0"
"Cell1065","2","B","2 0"
"Cell1066","2","B","2 0"
"Cell1067","2","B","2 0"
"Cell1068","2","B","2 0"
"Cell1069","2","C","2 1"
"Cell1070","2","B","2 0"
"Cell1071","2","C","2 1"
"Cell1072","2","C","2 1"
"Cell1073","2","C","2 1"
"Cell1074","2","B","2 0"
"Cell1075","2","B","2 0"
"Cell1076","2","B","2 0"
"Cell1077","2","C","2 1"
"Cell1078","2","B","2 0"
"Cell1079","2","B","2 0"
"Cell1080","2","C","2 1"
"Cell1081","2","C","2 1"
"Cell1082","2","C","2 1"
"Cell1083","2","C","2 1"
"Cell1084","2","B","2 0"
"Cell1085","2","C","2 1"
"Cell1086","2","B","2 0"
"Cell1087","2","C","2 1"
"Cell1088","2","B","2 0"
"Cell1089","2","C","2 1"
"Cell1090","2","B","2 0"
"Cell1091","2","B","2 0"
"Cell1092","2","C","2 1"
"Cell1093","2","B","2 0"
"Cell1094","2","B","2 0"
"Cell1095","2","C","2 1"
"Cell1096","2","B","2 0"
"Cell1097","2","C","2 1"
"Cell1098","2","B","2 0"
"Cell1099","2","C","2 1"
"Cell1100","2","B","2 0"
"Cell1101","2","B","2 0"
"Cell1102","2","C","2 1"
"Cell1103","2","B","2 0"
"Cell1104","2","C","2 1"
"Cell1105","2","B","2 0"
"Cell1106","2","C","2 1"
"Cell1107","2","B","2 0"
"Cell1108","2","B","2 0"
"Cell1109","2","B","2 0"
"Cell1110","2","C","2 1"
"Cell1111","2","C","2 1"
"Cell1112","2","B","2 0"
"Cell1113","2","C","2 1"
"Cell1114","2","C","2 1"
"Cell1115","2","B","2 0"
"Cell1116","2","B","2 0"
"Cell1117","2","C","2 1"
"Cell1118","2","B","2 0"
"Cell1119","2","B","2 0"
"Cell1120","2","C","2 1"
"Cell1121","2","C","2 1"
"Cell1122","2","C","2 1"
"Cell1123","2","C","2 1"
"Cell1124","2","B","2 0"
"Cell1125","2","C","2 1"
"Cell1126","2","B","2 0"
"Cell1127","2","C","2 1"
"Cell1128","2","B","2 0"
"Cell1129","2","C","2 1"
"Cell1130","2","C","2 1"
"Cell1131","2","B","2 0"
"Cell1132","2","C","2 1"
"Cell1133","2","C","2 1"
"Cell1134","2","B","2 0"
"Cell1135","2","B","2 0"
"Cell1136","2","C","2 1"
"Cell1137","2","C","2 1"
"Cell1138","2","B","2 0"
"Cell1139","2","B","2 0"
"Cell1140","2","C","2 1"
"Cell1141","2","C","2 1"
"Cell1142","2","C","2 1"
"Cell1143","2","C","2 1"
"Cell1144","2","B","2 0"
"Cell1145","2","C","2 1"
"Cell1146","2","B","2 0"
"Cell1147","2","C","2 1"
"Cell1148","2","B","2 0"
"Cell1149","2","B","2 0"
"Cell1150","2","B","2 0"
"Cell1151","2","B","2 0"
"Cell1152","2","B","2 0"
"Cell1153","2","C","2 1"
"Cell1154","2","B","2 0"
"Cell1155","2","C","2 1"
"Cell1156","2","C","2 1"
"Cell1157","2","B","2 0"
"Cell1158","2","B","2 0"
"Cell1159","2","C","2 1"
"Cell1160","2","B","2 0"
"Cell1161","2","C","2 1"
"Cell1162","2","B","2 0"
"Cell1163","2","B","2 0"
"Cell1164","2","B","2 0"
"Cell1165","2","C","2 1"
"Cell1166","2","B","2 0"
"Cell1167","2","C","2 1"
"Cell1168","2","C","2 1"
"Cell1169","2","C","2 1"
"Cell1170","2","C","2 1"
"Cell1171","2","C","2 1"
"Cell1172","2","B","2 0"
"Cell1173","2","C","2 1"
"Cell1174","2","B","2 0"
"Cell1175","2","B","2 0"
"Cell1176","2","B","2 0"
"Cell1177","2","C","2 1"
"Cell1178","2","C","2 1"
"Cell1179","2","C","2 1"
"Cell1180","2","C","2 1"
"Cell1181","2","B","2 0"
"Cell1182","2","B","2 0"
"Cell1183","2","B","2 0"
"Cell1184","2","C","2 1"
"Cell1185","2","B","2 0"
"Cell1186","2","C","2 1"
"Cell1187","2","B","2 0"
"Cell1188","2","B","2 0"
"Cell1189","2","B","2 0"
"Cell1190","2","B","2 0"
"Cell1191","2","C","2 1"
"Cell1192","2","C","2 1"
"Cell1193","2","C","2 1"
"Cell1194","2","C","2 1"
"Cell1195","2","B","2 0"
"Cell1196","2","C","2 1"
"Cell1197","2","B","2 0"
"Cell1198","2","C","2 1"
"Cell1199","2","B","2 0"
"Cell1200","2","C","2 1"
"Cell1201","2","C","2 1"
"Cell1202","2","B","2 0"
"Cell1203","2","C","2 1"
"Cell1204","2","C","2 1"
"Cell1205","2","B","2 0"
"Cell1206","2","B","2 0"
"Cell1207","2","C","2 1"
"Cell1208","2","C","2 1"
"Cell1209","2","C","2 1"
"Cell1210","2","B","2 0"
"Cell1211","2","B","2 0"
"Cell1212","2","C","2 1"
"Cell1213","2","C","2 1"
"Cell1214","2","C","2 1"
"Cell1215","2","C","2 1"
"Cell1216","2","B","2 0"
"Cell1217","2","B","2 0"
"Cell1218","2","C","2 1"
"Cell1219","2","B","2 0"
"Cell1220","2","B","2 0"
"Cell1221","2","C","2 1"
"Cell1222","2","C","2 1"
"Cell1223","2","C","2 1"
"Cell1224","2","C","2 1"
"Cell1225","2","B","2 0"
"Cell1226","2","B","2 0"
"Cell1227","2","B","2 0"
"Cell1228","2","C","2 1"
"Cell1229","2","B","2 0"
"Cell1230","2","B","2 0"
"Cell1231","2","C","2 1"
"Cell1232","2","B","2 0"
"Cell1233","2","C","2 1"
"Cell1234","2","C","2 1"
"Cell1235","2","C","2 1"
"Cell1236","2","B","2 0"
"Cell1237","2","C","2 1"
"Cell1238","2","B","2 0"
"Cell1239","2","B","2 0"
"Cell1240","2","C","2 1"
"Cell1241","2","B","2 0"
"Cell1242","2","B","2 0"
"Cell1243","2","C","2 1"
"Cell1244","2","C","2 1"
"Cell1245","2","C","2 1"
"Cell1246","2","C","2 1"
"Cell1247","2","B","2 0"
"Cell1248","2","B","2 0"
"Cell1249","2","B","2 0"
"Cell1250","2","C","2 1"
"Cell1251","2","B","2 0"
"Cell1252","2","B","2 0"
"Cell1253","2","C","2 1"
"Cell1254","2","B","2 0"
"Cell1255","2","B","2 0"
"Cell1256","2","C","2 1"
"Cell1257","2","C","2 1"
"Cell1258","2","C","2 1"
"Cell1259","2","C","2 1"
"Cell1260","2","C","2 1"
"Cell1261","2","C","2 1"
"Cell1262","2","C","2 1"
"Cell1263","2","C","2 1"
"Cell1264","2","B","2 0"
"Cell1265","2","B","2 0"
"Cell1266","2","C","2 1"
"Cell1267","2","B","2 0"
"Cell1268","2","C","2 1"
"Cell1269","2","B","2 0"
"Cell1270","2","B","2 0"
"Cell1271","2","B","2 0"
"Cell1272","2","C","2 1"
"Cell1273","2","C","2 1"
"Cell1274","2","C","2 1"
"Cell1275","2","B","2 0"
"Cell1276","2","B","2 0"
"Cell1277","2","B","2 0"
"Cell1278","2","B","2 0"
"Cell1279","2","B","2 0"
"Cell1280","2","B","2 0"
"Cell1281","2","B","2 0"
"Cell1282","2","B","2 0"
"Cell1283","2","B","2 0"
"Cell1284","2","B","2 0"
"Cell1285","2","C","2 1"
"Cell1286","2","C","2 1"
"Cell1287","2","B","2 0"
"Cell1288","2","C","2 1"
"Cell1289","2","C","2 1"
"Cell1290","2","C","2 1"
"Cell1291","2","C","2 1"
"Cell1292","2","C","2 1"
"Cell1293","2","B","2 0"
"Cell1294","2","C","2 1"
"Cell1295","2","B","2 0"
"Cell1296","2","C","2 1"
"Cell1297","2","C","2 1"
"Cell1298","2","B","2 0"
"Cell1299","2","C","2 1"
"Cell1300","2","B","2 0"
"Cell1301","2","C","2 1"
"Cell1302","2","C","2 1"
"Cell1303","2","C","2 1"
"Cell1304","2","B","2 0"
"Cell1305","2","B","2 0"
"Cell1306","2","C","2 1"
"Cell1307","2","C","2 1"
"Cell1308","2","B","2 0"
"Cell1309","2","B","2 0"
"Cell1310","2","C","2 1"
"Cell1311","2","C","2 1"
"Cell1312","2","C","2 1"
"Cell1313","2","B","2 0"
"Cell1314","2","B","2 0"
"Cell1315","2","C","2 1"
"Cell1316","2","C","2 1"
"Cell1317","2","C","2 1"
"Cell1318","2","B","2 0"
"Cell1319","2","C","2 1"
"Cell1320","2","B","2 0"
"Cell1321","2","B","2 0"
"Cell1322","2","B","2 0"
"Cell1323","2","C","2 1"
"Cell1324","2","C","2 1"
"Cell1325","2","B","2 0"
"Cell1326","2","C","2 1"
"Cell1327","2","C","2 1"
"Cell1328","2","C","2 1"
"Cell1329","2","C","2 1"
"Cell1330","2","B","2 0"
"Cell1331","2","B","2 0"
"Cell1332","2","B","2 0"
"Cell1333","2","B","2 0"
"Cell1334","2","B","2 0"
"Cell1335","2","B","2 0"
"Cell1336","2","C","2 1"
"Cell1337","2","C","2 1"
"Cell1338","2","B","2 0"
"Cell1339","2","C","2 1"
"Cell1340","2","B","2 0"
"Cell1341","2","B","2 0"
"Cell1342","2","B","2 0"
"Cell1343","2","B","2 0"
"Cell1344","2","C","2 1"
"Cell1345","2","C","2 1"
"Cell1346","2","B","2 0"
"Cell1347","2","B","2 0"
"Cell1348","2","C","2 1"
"Cell1349","2","B","2 0"
"Cell1350","2","C","2 1"
"Cell1351","2","B","2 0"
"Cell1352","2","C","2 1"
"Cell1353","2","C","2 1"
"Cell1354","2","C","2 1"
"Cell1355","2","B","2 0"
"Cell1356","2","B","2 0"
"Cell1357","2","C","2 1"
"Cell1358","2","C","2 1"
"Cell1359","2","B","2 0"
"Cell1360","2","B","2 0"
"Cell1361","2","B","2 0"
"Cell1362","2","C","2 1"
"Cell1363","2","C","2 1"
"Cell1364","2","C","2 1"
"Cell1365","2","C","2 1"
"Cell1366","2","C","2 1"
"Cell1367","2","C","2 1"
"Cell1368","2","B","2 0"
"Cell1369","2","C","2 1"
"Cell1370","2","B","2 0"
"Cell1371","2","C","2 1"
"Cell1372","2","B","2 0"
"Cell1373","2","B","2 0"
"Cell1374","2","C","2 1"
"Cell1375","2","B","2 0"
"Cell1376","2","B","2 0"
"Cell1377","2","B","2 0"
"Cell1378","2","B","2 0"
"Cell1379","2","B","2 0"
"Cell1380","2","B","2 0"
"Cell1381","2","C","2 1"
"Cell1382","2","B","2 0"
"Cell1383","2","B","2 0"
"Cell1384","2","B","2 0"
"Cell1385","2","C","2 1"
"Cell1386","2","B","2 0"
"Cell1387","2","B","2 0"
"Cell1388","2","C","2 1"
"Cell1389","2","B","2 0"
"Cell1390","2","B","2 0"
"Cell1391","2","B","2 0"
"Cell1392","2","C","2 1"
"Cell1393","2","B","2 0"
"Cell1394","2","B","2 0"
"Cell1395","2","C","2 1"
"Cell1396","2","B","2 0"
"Cell1397","2","B","2 0"
"Cell1398","2","B","2 0"
"Cell1399","2","C","2 1"
"Cell1400","2","C","2 1"
"Cell1401","2","C","2 1"
"Cell1402","2","C","2 1"
"Cell1403","2","B","2 0"
"Cell1404","2","B","2 0"
"Cell1405","2","B","2 0"
"Cell1406","2","C","2 1"
"Cell1407","2","C","2 1"
"Cell1408","2","C","2 1"
"Cell1409","2","B","2 0"
"Cell1410","2","B","2 0"
"Cell1411","2","C","2 1"
"Cell1412","2","B","2 0"
"Cell1413","2","B","2 0"
"Cell1414","2","C","2 1"
"Cell1415","2","B","2 0"
"Cell1416","2","C","2 1"
"Cell1417","2","C","2 1"
"Cell1418","2","C","2 1"
"Cell1419","2","B","2 0"
"Cell1420","2","B","2 0"
"Cell1421","2","B","2 0"
"Cell1422","2","B","2 0"
"Cell1423","2","C","2 1"
"Cell1424","2","B","2 0"
"Cell1425","2","C","2 1"
"Cell1426","2","B","2 0"
"Cell1427","2","C","2 1"
"Cell1428","2","B","2 0"
"Cell1429","2","B","2 0"
"Cell1430","2","C","2 1"
"Cell1431","2","B","2 0"
"Cell1432","2","B","2 0"
"Cell1433","2","C","2 1"
"Cell1434","2","B","2 0"
"Cell1435","2","B","2 0"
"Cell1436","2","C","2 1"
"Cell1437","2","C","2 1"
"Cell1438","2","C","2 1"
"Cell1439","2","C","2 1"
"Cell1440","2","B","2 0"
"Cell1441","2","B","2 0"
"Cell1442","2","C","2 1"
"Cell1443","2","B","2 0"
"Cell1444","2","C","2 1"
"Cell1445","2","B","2 0"
"Cell1446","2","B","2 0"
"Cell1447","2","C","2 1"
"Cell1448","2","C","2 1"
"Cell1449","2","C","2 1"
"Cell1450","2","C","2 1"
"Cell1451","2","C","2 1"
"Cell1452","2","B","2 0"
"Cell1453","2","C","2 1"
"Cell1454","2","B","2 0"
"Cell1455","2","C","2 1"
"Cell1456","2","C","2 1"
"Cell1457","2","C","2 1"
"Cell1458","2","C","2 1"
"Cell1459","2","C","2 1"
"Cell1460","2","C","2 1"
"Cell1461","2","C","2 1"
"Cell1462","2","C","2 1"
"Cell1463","2","B","2 0"
"Cell1464","2","C","2 1"
"Cell1465","2","B","2 0"
"Cell1466","2","C","2 1"
"Cell1467","2","C","2 1"
"Cell1468","2","C","2 1"
"Cell1469","2","B","2 0"
"Cell1470","2","C","2 1"
"Cell1471","2","C","2 1"
"Cell1472","2","B","2 0"
"Cell1473","2","B","2 0"
"Cell1474","2","B","2 0"
"Cell1475","2","B","2 0"
"Cell1476","2","B","2 0"
"Cell1477","2","B","2 0"
"Cell1478","2","C","2 1"
"Cell1479","2","C","2 1"
"Cell1480","2","C","2 1"
"Cell1481","2","C","2 1"
"Cell1482","2","C","2 1"
"Cell1483","2","C","2 1"
"Cell1484","2","B","2 0"
"Cell1485","2","C","2 1"
"Cell1486","2","C","2 1"
"Cell1487","2","C","2 1"
"Cell1488","2","C","2 1"
"Cell1489","2","C","2 1"
"Cell1490","2","B","2 0"
"Cell1491","2","B","2 0"
"Cell1492","2","C","2 1"
"Cell1493","2","C","2 1"
"Cell1494","2","B","2 0"
"Cell1495","2","C","2 1"
"Cell1496","2","C","2 1"
"Cell1497","2","C","2 1"
"Cell1498","2","C","2 1"
"Cell1499","2","C","2 1"
"Cell1500","2","C","2 1"
"Cell1501","2","B","2 0"
"Cell1502","2","B","2 0"
"Cell1503","2","B","2 0"
"Cell1504","2","B","2 0"
"Cell1505","2","C","2 1"
"Cell1506","2","C","2 1"
"Cell1507","2","C","2 1"
"Cell1508","2","B","2 0"
"Cell1509","2","C","2 1"
"Cell1510","2","C","2 1"
"Cell1511","2","C","2 1"
"Cell1512","2","C","2 1"
"Cell1513","2","C","2 1"
"Cell1514","2","B","2 0"
"Cell1515","2","C","2 1"
"Cell1516","2","C","2 1"
"Cell1517","2","C","2 1"
"Cell1518","2","B","2 0"
"Cell1519","2","C","2 1"
"Cell1520","2","B","2 0"
"Cell1521","2","B","2 0"
"Cell1522","2","C","2 1"
"Cell1523","2","C","2 1"
"Cell1524","2","B","2 0"
"Cell1525","2","B","2 0"
"Cell1526","2","B","2 0"
"Cell1527","2","C","2 1"
"Cell1528","2","C","2 1"
"Cell1529","2","B","2 0"
"Cell1530","2","C","2 1"
"Cell1531","2","B","2 0"
"Cell1532","2","B","2 0"
"Cell1533","2","B","2 0"
"Cell1534","2","C","2 1"
"Cell1535","2","C","2 1"
"Cell1536","2","B","2 0"
"Cell1537","2","C","2 1"
"Cell1538","2","B","2 0"
"Cell1539","2","C","2 1"
"Cell1540","2","C","2 1"
"Cell1541","2","B","2 0"
"Cell1542","2","C","2 1"
"Cell1543","2","B","2 0"
"Cell1544","2","C","2 1"
"Cell1545","2","B","2 0"
"Cell1546","2","C","2 1"
"Cell1547","2","C","2 1"
"Cell1548","2","B","2 0"
"Cell1549","2","B","2 0"
"Cell1550","2","C","2 1"
"Cell1551","2","C","2 1"
"Cell1552","2","B","2 0"
"Cell1553","2","C","2 1"
"Cell1554","2","B","2 0"
"Cell1555","2","B","2 0"
"Cell1556","2","B","2 0"
"Cell1557","2","B","2 0"
"Cell1558","2","C","2 1"
"Cell1559","2","B","2 0"
"Cell1560","2","B","2 0"
"Cell1561","2","C","2 1"
"Cell1562","2","C","2 1"
"Cell1563","2","C","2 1"
"Cell1564","2","B","2 0"
"Cell1565","2","B","2 0"
"Cell1566","2","B","2 0"
"Cell1567","2","B","2 0"
"Cell1568","2","C","2 1"
"Cell1569","2","C","2 1"
"Cell1570","2","B","2 0"
"Cell1571","2","B","2 0"
"Cell1572","2","B","2 0"
"Cell1573","2","C","2 1"
"Cell1574","2","C","2 1"
"Cell1575","2","B","2 0"
"Cell1576","2","B","2 0"
"Cell1577","2","C","2 1"
"Cell1578","2","C","2 1"
"Cell1579","2","B","2 0"
"Cell1580","2","C","2 1"
"Cell1581","2","C","2 1"
"Cell1582","2","B","2 0"
"Cell1583","2","B","2 0"
"Cell1584","2","B","2 0"
"Cell1585","2","B","2 0"
"Cell1586","2","B","2 0"
"Cell1587","2","B","2 0"
"Cell1588","2","C","2 1"
"Cell1589","2","B","2 0"
"Cell1590","2","C","2 1"
"Cell1591","2","C","2 1"
"Cell1592","2","C","2 1"
"Cell1593","2","B","2 0"
"Cell1594","2","B","2 0"
"Cell1595","2","C","2 1"
"Cell1596","2","B","2 0"
"Cell1597","2","C","2 1"
"Cell1598","2","C","2 1"
"Cell1599","2","C","2 1"
"Cell1600","2","C","2 1"
"Cell1601","2","C","2 1"
"Cell1602","2","B","2 0"
"Cell1603","2","B","2 0"
"Cell1604","2","C","2 1"
"Cell1605","2","B","2 0"
"Cell1606","2","B","2 0"
"Cell1607","2","C","2 1"
"Cell1608","2","C","2 1"
"Cell1609","2","B","2 0"
"Cell1610","2","B","2 0"
"Cell1611","2","B","2 0"
"Cell1612","2","C","2 1"
"Cell1613","2","C","2 1"
"Cell1614","2","C","2 1"
"Cell1615","2","B","2 0"
"Cell1616","2","C","2 1"
"Cell1617","2","C","2 1"
"Cell1618","2","B","2 0"
"Cell1619","2","B","2 0"
"Cell1620","2","B","2 0"
"Cell1621","2","B","2 0"
"Cell1622","2","C","2 1"
"Cell1623","2","C","2 1"
"Cell1624","2","C","2 1"
"Cell1625","2","C","2 1"
"Cell1626","2","B","2 0"
"Cell1627","2","B","2 0"
"Cell1628","2","B","2 0"
"Cell1629","2","B","2 0"
"Cell1630","2","C","2 1"
"Cell1631","2","B","2 0"
"Cell1632","2","B","2 0"
"Cell1633","2","B","2 0"
"Cell1634","2","B","2 0"
"Cell1635","2","C","2 1"
"Cell1636","2","C","2 1"
"Cell1637","2","B","2 0"
"Cell1638","2","C","2 1"
"Cell1639","2","C","2 1"
"Cell1640","2","B","2 0"
"Cell1641","2","B","2 0"
"Cell1642","2","C","2 1"
"Cell1643","2","C","2 1"
"Cell1644","2","B","2 0"
"Cell1645","2","B","2 0"
"Cell1646","2","B","2 0"
"Cell1647","2","B","2 0"
"Cell1648","2","B","2 0"
"Cell1649","2","C","2 1"
"Cell1650","2","C","2 1"
"Cell1651","2","C","2 1"
"Cell1652","2","B","2 0"
"Cell1653","2","B","2 0"
"Cell1654","2","C","2 1"
"Cell1655","2","B","2 0"
"Cell1656","2","C","2 1"
"Cell1657","2","C","2 1"
"Cell1658","2","C","2 1"
"Cell1659","2","C","2 1"
"Cell1660","2","C","2 1"
"Cell1661","2","C","2 1"
"Cell1662","2","B","2 0"
"Cell1663","2","C","2 1"
"Cell1664","2","C","2 1"
"Cell1665","2","C","2 1"
"Cell1666","2","B","2 0"
"Cell1667","2","B","2 0"
"Cell1668","2","C","2 1"
"Cell1669","2","B","2 0"
"Cell1670","2","C","2 1"
"Cell1671","2","C","2 1"
"Cell1672","2","C","2 1"
"Cell1673","2","B","2 0"
"Cell1674","2","B","2 0"
"Cell1675","2","B","2 0"
"Cell1676","2","C","2 1"
"Cell1677","2","C","2 1"
"Cell1678","2","C","2 1"
"Cell1679","2","C","2 1"
"Cell1680","2","B","2 0"
"Cell1681","2","C","2 1"
"Cell1682","2","B","2 0"
"Cell1683","2","B","2 0"
